date	place	name	genre	time	price	website
1 Nov 11	Fort Canning Park	Whitesnake- Forevermore Tour	Rock	2000	$110-$140	http://www.sistic.com.sg/portal/dt?dt.isPortletRequest=true&dt.action=process&dt.provider=PortletWindowProcessChannel&dt.windowProvider.targetPortletChannel=JSPTabContainer/sEventsCalendar/Event&dt.containerName=JSPTabContainer/sEventsCalendar&dt.windowProvider.currentChannelMode=VIEW&dt.window.portletAction=RENDER&contentCode=snake1111
1 Nov 11	Hard Rock Café	Unified	Top 40's; Rock	2030	Free + F&B Charges	http://www.hardrock.com
1 Nov 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
2 Nov 11	CM-PB	Zsa + Claire	Pop; Folk	2130-0045	Free + F&B Charges	http://www.screamquiet.com/
2 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
2 Nov 11	Esplanade Theatre	k.d. lang & the Siss Boom Bang	Pop	2000	$40-$120	http://www.esplanade.com/whats_on/programme_info/kd_lang_and_the_siss_boom_band/index.jsp
2 Nov 11	Hard Rock Café	Six In The City ft. Tabula	Rock	2200	Free + F&B Charges	http://www.hardrock.com
2 Nov 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
3 Nov 11	Beer Market	Zsa + Claire	Pop; Folk	2130-0045	Free + F&B Charges	http://www.screamquiet.com/
3 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
3 Nov 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
3 Nov 11	Hard Rock Café	Enigma	Acoustic Set	2200	Free + F&B Charges	http://www.hardrock.com
3 Nov 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
4 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
4 Nov 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
4 Nov 11	Hard Rock Café	Energy	Rock	2200	Free + F&B Charges	http://www.hardrock.com
4 Nov 11	Hard Rock Café Sentosa	Enigma	Top 40's	2200	Free + F&B Charges	http://www.hardrockhotelsingapore.com/
4 Nov 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
5 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
5 Nov 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
5 Nov 11	Hard Rock Café	Enigma	Top 40's	2200	Free + F&B Charges	http://www.hardrock.com
5 Nov 11	Hard Rock Café Sentosa	Energy	Rock	2200	Free + F&B Charges	http://www.hardrockhotelsingapore.com/
5 Nov 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
5 Nov 11	The Pigeonhole	Deserters (MY) & Bottlesmokers (ID)	Indie; Electro	2000	$10	http://www.thepigeonhole.com.sg/
6 Nov 11	Crazy Elephant	Jam Session	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
7 Nov 11	Balaclava	Wendy & David	Cassic; Jazz	2000	Free + F&B Charges	http://www.imaginings.com.sg/
7 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
8 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
8 Nov 11	Hard Rock Café	Unified	Top 40's; Rock	2030	Free + F&B Charges	http://www.hardrock.com
9 Nov 11	CM-PB	Zsa + Claire	Pop; Folk	2130-0045	Free + F&B Charges	http://www.screamquiet.com/
9 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
9 Nov 11	Hard Rock Café	Six In The City ft. Tabula	Rock	2200	Free + F&B Charges	http://www.hardrock.com
10 Nov 11	Beer Market	Zsa + Claire	Pop; Folk	2130-0045	Free + F&B Charges	http://www.screamquiet.com/
10 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
10 Nov 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
10 Nov 11	Hard Rock Café	Enigma	Acoustic Set	2200	Free + F&B Charges	http://www.hardrock.com
11 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
11 Nov 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
11 Nov 11	Hard Rock Café	Energy	Rock	2200	Free + F&B Charges	http://www.hardrock.com
11 Nov 11	Hard Rock Café Sentosa	Enigma	Top 40's	2200	Free + F&B Charges	http://www.hardrockhotelsingapore.com/
12 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
12 Nov 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
12 Nov 11	Hard Rock Café	Enigma	Top 40's	2200	Free + F&B Charges	http://www.hardrock.com
12 Nov 11	Hard Rock Café Sentosa	Energy	Rock	2200	Free + F&B Charges	http://www.hardrockhotelsingapore.com/
13 Nov 11	Crazy Elephant	Jam Session	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
14 Nov 11	Balaclava	Wendy & David	Cassic; Jazz	2000	Free + F&B Charges	http://www.imaginings.com.sg/
14 Nov 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
15 Nov 11	Hard Rock Café	Unified	Top 40's; Rock	2030	Free + F&B Charges	http://www.hardrock.com
16 Nov 11	CM-PB	Zsa + Claire	Pop; Folk	2130-0045	Free + F&B Charges	http://www.screamquiet.com/
16 Nov 11	Hard Rock Café	Six In The City ft. Tabula	Rock	2200	Free + F&B Charges	http://www.hardrock.com
17 Nov 11	Beer Market	Zsa + Claire	Pop; Folk	2130-0045	Free + F&B Charges	http://www.screamquiet.com/
17 Nov 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
17 Nov 11	Hard Rock Café	Enigma	Acoustic Set	2200	Free + F&B Charges	http://www.hardrock.com
18 Nov 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
18 Nov 11	Hard Rock Café	Energy	Rock	2200	Free + F&B Charges	http://www.hardrock.com
18 Nov 11	Hard Rock Café Sentosa	Enigma	Top 40's	2200	Free + F&B Charges	http://www.hardrockhotelsingapore.com/
19 Nov 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
19 Nov 11	Hard Rock Café	Enigma	Top 40's	2200	Free + F&B Charges	http://www.hardrock.com
19 Nov 11	Hard Rock Café Sentosa	Energy	Rock	2200	Free + F&B Charges	http://www.hardrockhotelsingapore.com/
21 Nov 11	Balaclava	Wendy & David	Cassic; Jazz	2000	Free + F&B Charges	http://www.imaginings.com.sg/
22 Nov 11	Hard Rock Café	Unified	Top 40's; Rock	2030	Free + F&B Charges	http://www.hardrock.com
23 Nov 11	CM-PB	Zsa + Claire	Pop; Folk	2130-0045	Free + F&B Charges	http://www.screamquiet.com/
23 Nov 11	Hard Rock Café	Six In The City ft. Tabula	Rock	2200	Free + F&B Charges	http://www.hardrock.com
24 Nov 11	Beer Market	Zsa + Claire	Pop; Folk	2130-0045	Free + F&B Charges	http://www.screamquiet.com/
24 Nov 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
24 Nov 11	Hard Rock Café	Enigma	Acoustic Set	2200	Free + F&B Charges	http://www.hardrock.com
25 Nov 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
25 Nov 11	Hard Rock Café	Energy	Rock	2200	Free + F&B Charges	http://www.hardrock.com
25 Nov 11	Hard Rock Café Sentosa	Enigma	Top 40's	2200	Free + F&B Charges	http://www.hardrockhotelsingapore.com/
25 Nov 11	Esplanade Recital Studio	Syndicate Sessions: Octover, Kiat & Max Lane, KoFlow & Aya Sekine	Electro; Jazz	2130-2300	$25	http://syndicate.sg/2011/10/esplanade-syndicate-sessions-2011/
